Ciqual AGB,Ciqual code,Nom Français,Groupe d'aliment,Sous-groupe d'aliment,LCI Name,Ingredients,Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
31092,31092,Calissons d'Aix en Provence,produits sucrés,confiseries non chocolatées,Melon and almond Candy on a unleavened bread layer,Sucre blanc,0.06,0.26,0.02,0.02,1.00,0.05,0.01,0.03,0.08,2.47,14.98,11.50,1.03,2.64,0.61
31092,31092,Calissons d'Aix en Provence,produits sucrés,confiseries non chocolatées,Melon and almond Candy on a unleavened bread layer,Autres étapes,0.06,0.53,0.09,0.55,1.32,0.02,0.00,0.01,0.09,1.11,5.02,5.40,0.39,18.93,0.77
30155,30155,"Merguez, boeuf et mouton, cuite","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, cooked",Viande de bœuf sans os,1.59,19.40,0.32,0.50,23.99,1.56,0.23,1.04,0.86,49.99,1126.85,133.10,3.10,29.21,6.52
30155,30155,"Merguez, boeuf et mouton, cuite","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, cooked",Viande de moutton sans os,2.26,23.31,0.43,0.53,31.99,2.40,0.36,1.58,1.18,74.72,2088.94,178.30,5.69,37.17,7.81
30155,30155,"Merguez, boeuf et mouton, cuite","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, cooked",Abats de bœuf,0.37,4.46,0.07,0.11,5.51,0.36,0.05,0.24,0.20,11.50,259.33,30.44,0.71,6.70,1.50
30155,30155,"Merguez, boeuf et mouton, cuite","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, cooked",Persil,0.00,0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.10,0.92,0.30,0.14,0.10,0.04
30155,30155,"Merguez, boeuf et mouton, cuite","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, cooked",Sel,0.00,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.01,0.05,0.25,0.00,0.09,0.12
30155,30155,"Merguez, boeuf et mouton, cuite","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, cooked",Autres étapes,0.07,0.57,0.12,0.84,1.50,0.02,0.00,0.00,0.08,0.46,1.73,6.96,0.34,24.40,1.46
30156,30156,"Merguez, boeuf et mouton, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, raw",Viande de bœuf sans os,1.59,19.40,0.32,0.50,23.99,1.56,0.23,1.04,0.86,49.99,1126.85,133.10,3.10,29.21,6.52
30156,30156,"Merguez, boeuf et mouton, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, raw",Viande de moutton sans os,2.26,23.31,0.43,0.53,31.99,2.40,0.36,1.58,1.18,74.72,2088.94,178.30,5.69,37.17,7.81
30156,30156,"Merguez, boeuf et mouton, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, raw",Abats de bœuf,0.37,4.46,0.07,0.11,5.51,0.36,0.05,0.24,0.20,11.50,259.33,30.44,0.71,6.70,1.50
30156,30156,"Merguez, boeuf et mouton, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, raw",Persil,0.00,0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.10,0.92,0.30,0.14,0.10,0.04
30156,30156,"Merguez, boeuf et mouton, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, raw",Sel,0.00,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.01,0.05,0.25,0.00,0.09,0.12
30156,30156,"Merguez, boeuf et mouton, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef and mutton, raw",Autres étapes,0.04,0.51,0.07,0.23,1.32,0.02,0.00,0.00,0.04,0.36,1.43,3.73,0.22,11.41,0.91
30154,30154,"Merguez, bœuf, mouton et porc, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef, mutton and pork, raw",Viande de bœuf sans os,1.59,19.40,0.32,0.50,23.99,1.56,0.23,1.04,0.86,49.99,1126.85,133.10,3.10,29.21,6.52
30154,30154,"Merguez, bœuf, mouton et porc, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef, mutton and pork, raw",Viande de moutton sans os,1.14,11.75,0.22,0.27,16.13,1.21,0.18,0.80,0.59,37.68,1053.32,89.90,2.87,18.74,3.94
30154,30154,"Merguez, bœuf, mouton et porc, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef, mutton and pork, raw",Viande,0.34,2.15,0.18,1.10,4.93,0.32,0.05,0.20,0.39,10.32,140.62,54.35,1.93,32.16,2.60
30154,30154,"Merguez, bœuf, mouton et porc, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef, mutton and pork, raw",Abats de bœuf,0.37,4.46,0.07,0.11,5.51,0.36,0.05,0.24,0.20,11.50,259.33,30.44,0.71,6.70,1.50
30154,30154,"Merguez, bœuf, mouton et porc, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef, mutton and pork, raw",Persil,0.00,0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.10,0.92,0.30,0.14,0.10,0.04
30154,30154,"Merguez, bœuf, mouton et porc, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef, mutton and pork, raw",Sel,0.00,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.01,0.05,0.25,0.00,0.09,0.12
30154,30154,"Merguez, bœuf, mouton et porc, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, beef, mutton and pork, raw",Autres étapes,0.04,0.51,0.07,0.23,1.32,0.02,0.00,0.00,0.04,0.36,1.43,3.73,0.22,11.41,0.91
30153,30153,"Merguez, porc et bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pork and beef, raw",Viande de bœuf sans os,1.59,19.40,0.32,0.50,23.99,1.56,0.23,1.04,0.86,49.99,1126.85,133.10,3.10,29.21,6.52
30153,30153,"Merguez, porc et bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pork and beef, raw",Viande,0.68,4.33,0.36,2.22,9.94,0.64,0.09,0.39,0.79,20.82,283.65,109.63,3.89,64.86,5.25
30153,30153,"Merguez, porc et bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pork and beef, raw",Abats de bœuf,0.37,4.46,0.07,0.11,5.51,0.36,0.05,0.24,0.20,11.50,259.33,30.44,0.71,6.70,1.50
30153,30153,"Merguez, porc et bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pork and beef, raw",Persil,0.00,0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.10,0.92,0.30,0.14,0.10,0.04
30153,30153,"Merguez, porc et bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pork and beef, raw",Sel,0.00,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.01,0.05,0.25,0.00,0.09,0.12
30153,30153,"Merguez, porc et bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pork and beef, raw",Autres étapes,0.04,0.51,0.07,0.23,1.32,0.02,0.00,0.00,0.04,0.36,1.43,3.73,0.22,11.41,0.91
30152,30152,"Merguez, pur bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pure beef, raw",Œuf de poule,0.04,0.16,0.01,0.03,0.62,0.05,0.01,0.03,0.05,1.30,16.66,7.26,0.33,1.45,0.25
30152,30152,"Merguez, pur bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pure beef, raw",Ail,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.27,0.20,0.05,0.04,0.01
30152,30152,"Merguez, pur bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pure beef, raw",Viande de bœuf sans os,2.43,29.68,0.50,0.76,36.71,2.39,0.36,1.59,1.31,76.50,1724.45,203.69,4.74,44.70,9.97
30152,30152,"Merguez, pur bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pure beef, raw",Abats de bœuf,0.53,6.45,0.11,0.16,7.97,0.52,0.08,0.35,0.28,16.63,375.10,44.03,1.03,9.70,2.17
30152,30152,"Merguez, pur bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pure beef, raw",Sel,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.04,0.21,0.00,0.08,0.11
30152,30152,"Merguez, pur bœuf, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, pure beef, raw",Autres étapes,0.04,0.51,0.07,0.23,1.32,0.02,0.00,0.00,0.04,0.36,1.43,3.73,0.22,11.41,0.91
30150,30150,"Merguez, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, raw",Viande de bœuf sans os,1.59,19.40,0.32,0.50,23.99,1.56,0.23,1.04,0.86,49.99,1126.85,133.10,3.10,29.21,6.52
30150,30150,"Merguez, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, raw",Viande,0.68,4.33,0.36,2.22,9.94,0.64,0.09,0.39,0.79,20.82,283.65,109.63,3.89,64.86,5.25
30150,30150,"Merguez, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, raw",Abats de bœuf,0.37,4.46,0.07,0.11,5.51,0.36,0.05,0.24,0.20,11.50,259.33,30.44,0.71,6.70,1.50
30150,30150,"Merguez, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, raw",Persil,0.00,0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.10,0.92,0.30,0.14,0.10,0.04
30150,30150,"Merguez, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, raw",Sel,0.00,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.01,0.05,0.25,0.00,0.09,0.12
30150,30150,"Merguez, crue","viandes, œufs, poissons",charcuteries,"Merguez sausage, raw",Autres étapes,0.04,0.51,0.07,0.23,1.32,0.02,0.00,0.00,0.04,0.36,1.43,3.73,0.22,11.41,0.91
24520,24520,Meringue,produits céréaliers,céréales de petit-déjeuner et biscuits,Meringue,Blanc d'oeuf,0.19,0.77,0.07,0.13,2.94,0.22,0.03,0.14,0.24,6.19,79.10,34.48,1.57,6.87,1.17
24520,24520,Meringue,produits céréaliers,céréales de petit-déjeuner et biscuits,Meringue,Sucre blanc,0.07,0.35,0.03,0.02,1.34,0.07,0.01,0.04,0.11,3.33,20.17,15.49,1.39,3.56,0.83
24520,24520,Meringue,produits céréaliers,céréales de petit-déjeuner et biscuits,Meringue,Autres étapes,0.07,0.40,0.11,0.66,1.07,0.03,0.00,0.01,0.11,1.24,9.07,19.64,0.27,18.09,1.00
36318,36318,"Dinde, escalope viennoise ou milanaise ou escalope panée","viandes, œufs, poissons",autres produits à base de viande,Milanese-style turkey escalope or breaded veal escalope,Blanc d'oeuf,0.05,0.23,0.02,0.04,0.87,0.06,0.01,0.04,0.07,1.84,23.49,10.24,0.47,2.04,0.35
36318,36318,"Dinde, escalope viennoise ou milanaise ou escalope panée","viandes, œufs, poissons",autres produits à base de viande,Milanese-style turkey escalope or breaded veal escalope,Jaune d'œuf,0.04,0.17,0.01,0.03,0.65,0.05,0.01,0.03,0.05,1.36,17.43,7.60,0.35,1.51,0.26
36318,36318,"Dinde, escalope viennoise ou milanaise ou escalope panée","viandes, œufs, poissons",autres produits à base de viande,Milanese-style turkey escalope or breaded veal escalope,Viande de poulet sans os,0.60,3.86,0.34,0.43,12.21,0.56,0.08,0.34,0.99,18.94,238.64,123.12,4.48,38.91,5.97
36318,36318,"Dinde, escalope viennoise ou milanaise ou escalope panée","viandes, œufs, poissons",autres produits à base de viande,Milanese-style turkey escalope or breaded veal escalope,Farine de blé,0.01,0.04,0.00,0.01,0.19,0.01,0.00,0.00,0.02,0.68,8.90,2.38,0.03,0.38,0.08
36318,36318,"Dinde, escalope viennoise ou milanaise ou escalope panée","viandes, œufs, poissons",autres produits à base de viande,Milanese-style turkey escalope or breaded veal escalope,Autres étapes,0.11,0.71,0.17,1.29,1.82,0.03,0.00,0.01,0.11,1.33,4.48,9.89,0.48,34.82,1.72
19679,19679,"Lait gélifié aromatisé, nappé caramel, rayon frais",lait et produits laitiers,produits laitiers frais et assimilés,"Milk jelly, flavoured, covered with caramel, refrigerated",Œuf de poule,0.09,0.36,0.03,0.06,1.38,0.10,0.01,0.06,0.11,2.90,37.07,16.16,0.74,3.22,0.55
19679,19679,"Lait gélifié aromatisé, nappé caramel, rayon frais",lait et produits laitiers,produits laitiers frais et assimilés,"Milk jelly, flavoured, covered with caramel, refrigerated",Lait demi-écremé,0.06,0.68,0.02,0.04,1.02,0.05,0.01,0.03,0.06,2.20,37.74,9.90,0.21,1.73,0.36
19679,19679,"Lait gélifié aromatisé, nappé caramel, rayon frais",lait et produits laitiers,produits laitiers frais et assimilés,"Milk jelly, flavoured, covered with caramel, refrigerated",Sucre blanc,0.02,0.10,0.01,0.01,0.37,0.02,0.00,0.01,0.03,0.91,5.50,4.22,0.38,0.97,0.22
19679,19679,"Lait gélifié aromatisé, nappé caramel, rayon frais",lait et produits laitiers,produits laitiers frais et assimilés,"Milk jelly, flavoured, covered with caramel, refrigerated",Autres étapes,0.07,0.55,0.12,0.70,1.45,0.02,0.00,0.01,0.08,1.16,4.10,6.24,0.25,21.61,1.18
19683,19683,"Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais",lait et produits laitiers,produits laitiers frais et assimilés,"Milk jelly, flavoured, reduced fat and sugar, refrigerated",Lait demi-écremé,0.10,1.16,0.03,0.06,1.76,0.09,0.01,0.06,0.10,3.79,64.96,17.04,0.36,2.98,0.62
19683,19683,"Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais",lait et produits laitiers,produits laitiers frais et assimilés,"Milk jelly, flavoured, reduced fat and sugar, refrigerated",Sucre blanc,0.01,0.04,0.00,0.00,0.14,0.01,0.00,0.00,0.01,0.34,2.07,1.59,0.14,0.37,0.08
19683,19683,"Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais",lait et produits laitiers,produits laitiers frais et assimilés,"Milk jelly, flavoured, reduced fat and sugar, refrigerated",Autres étapes,0.07,0.55,0.12,0.70,1.45,0.02,0.00,0.01,0.08,1.16,4.10,6.24,0.25,21.61,1.18
19680,19680,"Lait gélifié aromatisé, rayon frais",lait et produits laitiers,produits laitiers frais et assimilés,"Milk jelly, flavoured, refrigerated",Lait demi-écremé,0.10,1.16,0.03,0.06,1.76,0.09,0.01,0.06,0.10,3.79,64.96,17.04,0.36,2.98,0.62
19680,19680,"Lait gélifié aromatisé, rayon frais",lait et produits laitiers,produits laitiers frais et assimilés,"Milk jelly, flavoured, refrigerated",Sucre blanc,0.01,0.04,0.00,0.00,0.14,0.01,0.00,0.00,0.01,0.34,2.07,1.59,0.14,0.37,0.08
19680,19680,"Lait gélifié aromatisé, rayon frais",lait et produits laitiers,produits laitiers frais et assimilés,"Milk jelly, flavoured, refrigerated",Autres étapes,0.07,0.55,0.12,0.70,1.45,0.02,0.00,0.01,0.08,1.16,4.10,6.24,0.25,21.61,1.18
7712,7712,"Pain au lait aux pépites de chocolat, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll filled with chocolate drops, prepacked",Beurre,0.10,1.33,0.04,0.04,2.14,0.07,0.01,0.04,0.17,3.29,42.43,8.28,0.87,3.91,1.48
7712,7712,"Pain au lait aux pépites de chocolat, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll filled with chocolate drops, prepacked",Chocolat noir,0.12,1.75,0.07,0.06,2.93,0.04,0.01,0.02,0.19,5.77,14.65,48.00,0.79,4.79,1.42
7712,7712,"Pain au lait aux pépites de chocolat, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll filled with chocolate drops, prepacked",Lait demi-écremé,0.03,0.38,0.01,0.02,0.58,0.03,0.00,0.02,0.03,1.24,21.27,5.58,0.12,0.98,0.20
7712,7712,"Pain au lait aux pépites de chocolat, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll filled with chocolate drops, prepacked",Farine de blé,0.04,0.20,0.02,0.03,0.90,0.03,0.00,0.02,0.07,3.23,42.45,11.33,0.12,1.81,0.40
7712,7712,"Pain au lait aux pépites de chocolat, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll filled with chocolate drops, prepacked",Sucre blanc,0.01,0.03,0.00,0.00,0.12,0.01,0.00,0.00,0.01,0.29,1.75,1.34,0.12,0.31,0.07
7712,7712,"Pain au lait aux pépites de chocolat, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll filled with chocolate drops, prepacked",Autres étapes,0.06,0.56,0.08,0.50,1.28,0.02,0.00,0.01,0.05,1.12,4.13,5.25,0.32,17.82,0.66
7710,7710,"Pain au lait, artisanal",produits céréaliers,pains et viennoiseries,"Milk roll, from bakery",Beurre,0.16,2.23,0.07,0.07,3.60,0.12,0.02,0.07,0.28,5.52,71.17,13.88,1.45,6.55,2.49
7710,7710,"Pain au lait, artisanal",produits céréaliers,pains et viennoiseries,"Milk roll, from bakery",Blanc d'oeuf,0.03,0.14,0.01,0.02,0.55,0.04,0.01,0.03,0.05,1.15,14.75,6.43,0.29,1.28,0.22
7710,7710,"Pain au lait, artisanal",produits céréaliers,pains et viennoiseries,"Milk roll, from bakery",Jaune d'œuf,0.02,0.07,0.01,0.01,0.28,0.02,0.00,0.01,0.02,0.59,7.60,3.31,0.15,0.66,0.11
7710,7710,"Pain au lait, artisanal",produits céréaliers,pains et viennoiseries,"Milk roll, from bakery",Lait demi-écremé,0.03,0.30,0.01,0.02,0.46,0.02,0.00,0.01,0.03,0.99,17.05,4.47,0.10,0.78,0.16
7710,7710,"Pain au lait, artisanal",produits céréaliers,pains et viennoiseries,"Milk roll, from bakery",Farine de blé,0.04,0.20,0.02,0.03,0.89,0.03,0.00,0.02,0.07,3.18,41.84,11.17,0.12,1.78,0.39
7710,7710,"Pain au lait, artisanal",produits céréaliers,pains et viennoiseries,"Milk roll, from bakery",Sucre blanc,0.01,0.03,0.00,0.00,0.10,0.01,0.00,0.00,0.01,0.26,1.57,1.21,0.11,0.28,0.06
7710,7710,"Pain au lait, artisanal",produits céréaliers,pains et viennoiseries,"Milk roll, from bakery",Autres étapes,0.06,0.56,0.08,0.50,1.28,0.02,0.00,0.01,0.05,1.12,4.13,5.25,0.32,17.82,0.66
7711,7711,"Pain au lait, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll, prepacked",Beurre,0.16,2.23,0.07,0.07,3.60,0.12,0.02,0.07,0.28,5.52,71.17,13.88,1.45,6.55,2.49
7711,7711,"Pain au lait, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll, prepacked",Blanc d'oeuf,0.03,0.14,0.01,0.02,0.55,0.04,0.01,0.03,0.05,1.15,14.75,6.43,0.29,1.28,0.22
7711,7711,"Pain au lait, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll, prepacked",Jaune d'œuf,0.02,0.07,0.01,0.01,0.28,0.02,0.00,0.01,0.02,0.59,7.60,3.31,0.15,0.66,0.11
7711,7711,"Pain au lait, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll, prepacked",Lait demi-écremé,0.03,0.30,0.01,0.02,0.46,0.02,0.00,0.01,0.03,0.99,17.05,4.47,0.10,0.78,0.16
7711,7711,"Pain au lait, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll, prepacked",Farine de blé,0.04,0.20,0.02,0.03,0.89,0.03,0.00,0.02,0.07,3.18,41.84,11.17,0.12,1.78,0.39
7711,7711,"Pain au lait, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll, prepacked",Sucre blanc,0.01,0.03,0.00,0.00,0.10,0.01,0.00,0.00,0.01,0.26,1.57,1.21,0.11,0.28,0.06
7711,7711,"Pain au lait, préemballé",produits céréaliers,pains et viennoiseries,"Milk roll, prepacked",Autres étapes,0.06,0.56,0.08,0.50,1.28,0.02,0.00,0.01,0.05,1.12,4.13,5.25,0.32,17.82,0.66
39001,39001,"Milk-shake, provenant de fast food",lait et produits laitiers,produits laitiers frais et assimilés,"Milkshake, from fast foods restaurant",Lait demi-écremé,0.11,1.21,0.03,0.06,1.84,0.09,0.01,0.06,0.11,3.95,67.76,17.77,0.38,3.11,0.65
39001,39001,"Milk-shake, provenant de fast food",lait et produits laitiers,produits laitiers frais et assimilés,"Milkshake, from fast foods restaurant",Sucre blanc,0.01,0.04,0.00,0.00,0.14,0.01,0.00,0.00,0.01,0.35,2.14,1.65,0.15,0.38,0.09
39001,39001,"Milk-shake, provenant de fast food",lait et produits laitiers,produits laitiers frais et assimilés,"Milkshake, from fast foods restaurant",Autres étapes,0.04,0.33,0.08,0.24,1.09,0.02,0.00,0.00,0.08,0.45,6.04,16.58,0.10,8.57,1.12
31100,31100,"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",produits céréaliers,céréales de petit-déjeuner et biscuits,"Milky cereal breakfast bar, with chocolate or not, fortified with vitamins and minerals",Beurre,0.27,3.63,0.11,0.12,5.85,0.20,0.03,0.11,0.45,8.99,115.78,22.58,2.37,10.66,4.05
31100,31100,"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",produits céréaliers,céréales de petit-déjeuner et biscuits,"Milky cereal breakfast bar, with chocolate or not, fortified with vitamins and minerals",Poudre de cacao,0.19,3.12,0.11,0.02,4.74,0.05,0.01,0.03,0.20,10.22,24.30,86.36,1.14,4.68,2.35
31100,31100,"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",produits céréaliers,céréales de petit-déjeuner et biscuits,"Milky cereal breakfast bar, with chocolate or not, fortified with vitamins and minerals",Blanc d'oeuf,0.03,0.11,0.01,0.02,0.44,0.03,0.00,0.02,0.04,0.92,11.76,5.13,0.23,1.02,0.17
31100,31100,"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",produits céréaliers,céréales de petit-déjeuner et biscuits,"Milky cereal breakfast bar, with chocolate or not, fortified with vitamins and minerals",Farine de blé,0.03,0.17,0.02,0.03,0.74,0.02,0.00,0.02,0.06,2.64,34.71,9.27,0.10,1.48,0.33
31100,31100,"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",produits céréaliers,céréales de petit-déjeuner et biscuits,"Milky cereal breakfast bar, with chocolate or not, fortified with vitamins and minerals",Sucre blanc,0.03,0.12,0.01,0.01,0.47,0.03,0.00,0.02,0.04,1.17,7.08,5.44,0.49,1.25,0.29
31100,31100,"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",produits céréaliers,céréales de petit-déjeuner et biscuits,"Milky cereal breakfast bar, with chocolate or not, fortified with vitamins and minerals",Autres étapes,0.07,0.57,0.10,0.67,1.42,0.03,0.00,0.01,0.10,1.19,5.33,6.23,0.44,21.88,0.89
24666,24666,Mille-feuille,produits céréaliers,gâteaux et pâtisseries,Mille-feuille pastry,Beurre,0.15,2.10,0.06,0.07,3.38,0.12,0.02,0.06,0.26,5.19,66.92,13.05,1.37,6.16,2.34
24666,24666,Mille-feuille,produits céréaliers,gâteaux et pâtisseries,Mille-feuille pastry,Lait demi-écremé,0.05,0.51,0.01,0.03,0.77,0.04,0.01,0.02,0.05,1.66,28.53,7.48,0.16,1.31,0.27
24666,24666,Mille-feuille,produits céréaliers,gâteaux et pâtisseries,Mille-feuille pastry,Farine de blé,0.02,0.08,0.01,0.01,0.36,0.01,0.00,0.01,0.03,1.29,16.96,4.53,0.05,0.72,0.16
24666,24666,Mille-feuille,produits céréaliers,gâteaux et pâtisseries,Mille-feuille pastry,Sucre blanc,0.02,0.12,0.01,0.01,0.44,0.02,0.00,0.01,0.03,1.10,6.64,5.10,0.46,1.17,0.27
24666,24666,Mille-feuille,produits céréaliers,gâteaux et pâtisseries,Mille-feuille pastry,Autres étapes,0.07,0.59,0.10,0.65,1.33,0.02,0.00,0.01,0.06,1.15,4.22,6.08,0.41,21.13,0.80
20916,20916,Miso,aides culinaires et ingrédients divers,ingrédients divers,Miso,Haricot mungo,0.03,0.20,0.01,0.01,0.81,0.01,0.00,0.00,0.08,3.61,52.66,13.87,0.03,1.29,0.70
20916,20916,Miso,aides culinaires et ingrédients divers,ingrédients divers,Miso,Riz non décortiqué,0.05,0.33,0.02,0.01,1.17,0.02,0.00,0.01,0.05,1.60,14.41,6.65,2.55,2.16,0.47
20916,20916,Miso,aides culinaires et ingrédients divers,ingrédients divers,Miso,Sel,0.00,0.02,0.00,0.00,0.08,0.00,0.00,0.00,0.01,0.03,0.13,0.67,0.01,0.24,0.33
20916,20916,Miso,aides culinaires et ingrédients divers,ingrédients divers,Miso,Autres étapes,0.07,0.40,0.11,0.66,1.08,0.03,0.00,0.01,0.11,1.24,9.07,19.64,0.30,18.09,1.00
11056,11056,Quatre épices,aides culinaires et ingrédients divers,épices,Mix of 4 spices,Cannelle ,0.11,-0.00,0.03,0.01,1.33,0.01,0.00,0.00,0.60,37.29,366.63,1.20,0.01,1.94,0.17
11056,11056,Quatre épices,aides culinaires et ingrédients divers,épices,Mix of 4 spices,Clous de girofle,0.01,-0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.06,3.78,37.25,0.11,0.00,0.18,0.02
11056,11056,Quatre épices,aides culinaires et ingrédients divers,épices,Mix of 4 spices,Gingembre,0.02,0.12,0.02,0.01,0.84,0.01,0.00,0.01,0.03,0.81,3.40,2.71,0.42,1.41,0.40
11056,11056,Quatre épices,aides culinaires et ingrédients divers,épices,Mix of 4 spices,Noix de muscade,0.01,0.10,0.01,0.01,0.65,0.00,0.00,0.00,0.02,0.67,1.51,6.72,0.18,1.14,0.30
11056,11056,Quatre épices,aides culinaires et ingrédients divers,épices,Mix of 4 spices,Autres étapes,0.07,0.67,0.12,0.24,2.45,0.07,0.01,0.01,0.12,0.79,7.15,11.10,0.23,13.26,1.82
9612,9612,"Mélange de céréales et légumineuses, cru",produits céréaliers,"pâtes, riz et céréales","Mix of cereals and legumes, raw",Blé dur,0.07,0.27,0.02,0.06,1.20,0.07,0.01,0.05,0.16,4.79,61.64,5.18,0.10,3.37,1.32
9612,9612,"Mélange de céréales et légumineuses, cru",produits céréaliers,"pâtes, riz et céréales","Mix of cereals and legumes, raw",Lentilles,0.01,0.05,0.01,0.01,0.40,0.00,0.00,0.00,0.05,1.80,25.58,5.14,0.14,0.62,0.13
9612,9612,"Mélange de céréales et légumineuses, cru",produits céréaliers,"pâtes, riz et céréales","Mix of cereals and legumes, raw",Autres étapes,0.04,0.36,0.05,0.24,0.85,0.01,0.00,0.00,0.05,0.22,1.42,2.86,0.18,10.72,0.57
18153,18153,"Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard)",boissons,boissons sans alcool,"Mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with standard semi-skimmed milk)",Mélange de chicorée et de café,0.18,0.98,0.10,0.15,3.66,0.11,0.01,0.06,0.35,6.37,54.03,98.64,1.69,12.10,2.83
