Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,code saison (0 : hors saison ; 1 : de saison ; 2 : mix de consommation FR),code avion (1 : par avion),Livraison,Matériau d'emballage,Préparation,DQR - Note de qualité de la donnée (1 excellente ; 5 très faible),Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
30705,30705,"viandes, œufs, poissons",charcuteries,Saucisson de Paris,Sausage from Paris,2,0,Glacé,Déjà emballé - PP/PE,Four ,2.53,0.87,5.46,0.56,3.67,11.93,0.78,0.11,0.48,0.96,25.74,322.07,129.52,4.84,95.17,10.63
30706,30706,"viandes, œufs, poissons",charcuteries,"Saucisson de Paris, fumé","Sausage from Paris, smoked",2,0,Glacé,Déjà emballé - PP/PE,Four ,2.53,0.87,5.46,0.56,3.67,11.93,0.78,0.11,0.48,0.96,25.74,322.07,129.52,4.84,95.17,10.63
30300,30300,"viandes, œufs, poissons",charcuteries,Saucisson sec,Dry sausage,2,0,Glacé,Déjà emballé - PP/PE,Pas de préparation ,2.10,0.84,5.40,0.50,3.06,11.75,0.78,0.11,0.48,0.92,25.64,321.76,126.29,4.71,82.18,10.08
30311,30311,"viandes, œufs, poissons",charcuteries,Saucisson sec aux noix et/ou noisettes,Dry sausage w walnuts and/or hazelnuts,2,0,Glacé,Déjà emballé - PP/PE,Pas de préparation ,2.53,0.85,5.45,0.51,3.09,11.87,0.79,0.11,0.49,0.93,25.91,325.14,127.62,4.76,83.00,10.19
30301,30301,"viandes, œufs, poissons",charcuteries,Saucisson sec pur porc,"Dry sausage, pure pork",2,0,Glacé,Déjà emballé - PP/PE,Pas de préparation ,2.53,0.84,5.40,0.50,3.06,11.75,0.78,0.11,0.48,0.92,25.64,321.76,126.29,4.71,82.18,10.08
30302,30302,"viandes, œufs, poissons",charcuteries,"Saucisson sec pur porc, qualité supérieure","Dry sausage, pure pork, superior quality",2,0,Glacé,Déjà emballé - PP/PE,Pas de préparation ,2.53,0.84,5.40,0.50,3.06,11.75,0.78,0.11,0.48,0.92,25.64,321.76,126.29,4.71,82.18,10.08
11069,11069,aides culinaires et ingrédients divers,herbes,"Sauge, fraîche","Sage, fresh",2,0,Ambiant (long),LPDE,Pas de préparation,3.75,0.14,0.95,0.09,0.27,2.86,0.07,0.01,0.03,0.23,4.13,37.28,14.96,5.51,16.42,2.05
11037,11037,aides culinaires et ingrédients divers,herbes,"Sauge, séchée","Sage, dried",2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.17,1.01,0.18,0.62,3.82,0.12,0.01,0.03,0.26,3.83,34.90,20.88,4.54,24.02,3.21
25077,25077,entrées et plats composés,plats composés,Saumon à l'oseille,Salmon with sorrel,2,0,Glacé,PP,Micro onde ,3.59,1.32,5.03,0.71,2.24,21.13,0.30,0.04,0.13,21.85,99.86,169.94,109.17,37.36,96.24,6.44
26037,26037,"viandes, œufs, poissons",poissons cuits,Saumon fumé,"Salmon, smoked",2,0,Glacé,V (PVC),Pas de préparation,3.38,1.31,4.95,0.69,2.14,20.99,0.29,0.04,0.13,21.62,98.82,168.17,112.12,37.42,92.95,6.32
26119,26119,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Saumon, appertisé, égoutté","Salmon, canned, drained",2,0,Ambiant (moyenne),Acier,Pas de préparation,3.38,1.89,8.26,0.96,2.61,33.83,0.53,0.06,0.18,28.32,125.90,223.51,200.77,46.87,132.82,44.81
26217,26217,"viandes, œufs, poissons",poissons cuits,"Saumon, bouilli/cuit à l'eau, élevage","Salmon, boiled/cooked in water, farmed",2,0,Glacé,PP,Four,3.56,1.62,6.13,0.90,3.23,25.69,0.36,0.04,0.16,26.44,120.75,205.60,134.64,45.25,127.33,8.25
26036,26036,"viandes, œufs, poissons",poissons crus,"Saumon, cru, élevage","Salmon, raw, farmed",2,0,Glacé,PS,Pas de préparation,3.68,1.30,5.05,0.69,2.09,21.02,0.29,0.04,0.13,21.60,98.82,168.03,107.77,37.06,93.08,6.26
26038,26038,"viandes, œufs, poissons",poissons cuits,"Saumon, cuit à la vapeur","Salmon, steamed",2,0,Glacé,PP,Four,3.56,1.62,6.13,0.90,3.23,25.69,0.36,0.04,0.16,26.44,120.75,205.60,134.64,45.25,127.33,8.25
